Species,Strain,Run,Bioproject,Condition,Condition_detail,Sample_id,Genotype_label,Is_control,Replicate,Compound,BKT,crtZ,crtW,PDS,ZDS,crtB,lcyB,BKT_TPM,crtZ_TPM,crtW_TPM,PDS_TPM,ZDS_TPM,lcyB_TPM,crtB_TPM,Label 
Chromochloris zofingiensis,SAG 211-14,SRR5117291,PRJNA357849,Other,proteose_medium_N/A_high_light_400µmol_photons_m^-2_s^-1,high_light,NA,1,1,astaxanthin,1,1,1,1,1,1,1,206.07,82.84,68.69,89.96,199.04,93.36,291.14,Medium
Chromochloris zofingiensis,SAG 211-14,SRR5117292,PRJNA357849,Carbon_source,proteose_medium_+_20mm_glucose_72h_N/A_med_light_100µmol_photons_m^-2_s^-1,glucose,NA,0,1,astaxanthin,1,1,1,1,1,1,1,96.15,217.18,32.05,46.15,82.57,92.79,145.27,Medium
Chromochloris zofingiensis,SAG 211-14,SRR5117293,PRJNA357849,Other,proteose_medium_N/A_med_light_100µmol_photons_m^-2_s^-1,4h_anaerobic,NA,0,1,astaxanthin,1,1,1,1,1,1,1,43.35,89.51,14.45,79.52,165.99,186.85,488.5,Medium
Chromochloris zofingiensis,SAG 211-14,SRR5117294,PRJNA357849,Other,proteose_medium_-n_N/A_med_light_100µmol_photons_m^-2_s^-1,1h_noN,NA,0,1,astaxanthin,1,1,1,1,1,1,1,40.53,22.96,13.51,66.57,248.14,139.29,96.81,Low
Chromochloris zofingiensis,SAG 211–14,SRR5117295,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_0h,ML.0h_repA,,1,1,astaxanthin,1,1,1,1,1,1,1,144.27,257.86,48.09,207.31,184.23,184.15,485.53,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117296,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_0h,ML.0h_repB,,1,2,astaxanthin,1,1,1,1,1,1,1,48.75,252.49,16.25,220.16,167.25,161.89,362.65,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117297,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_0h,ML.0h_repC,,1,3,astaxanthin,1,1,1,1,1,1,1,110.79,289.07,36.93,210.23,181.83,164.88,537.11,High
Chromochloris zofingiensis,SAG 211–14,SRR5117298,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_0h,ML.0h_repD,,1,4,astaxanthin,1,1,1,1,1,1,1,130.8,253.42,43.6,210.58,202.76,150.19,518.58,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117299,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_0.5h,ML0.5h_repA,,1,1,astaxanthin,1,1,1,1,1,1,1,63.27,286.82,21.09,224.96,208.63,162.65,526.58,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117300,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_0.5h,ML0.5h_repB,,1,2,astaxanthin,1,1,1,1,1,1,1,140.55,258.63,46.85,206.29,212.71,156.6,468.18,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117301,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_0.5h,ML0.5h_repC,,1,3,astaxanthin,1,1,1,1,1,1,1,99.45,259,33.15,190.73,191.46,133.44,442.18,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117302,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_0.5h,ML0.5h_repD,,1,4,astaxanthin,1,1,1,1,1,1,1,83.13,317.54,27.71,204.57,209.93,176.42,556.44,High
Chromochloris zofingiensis,SAG 211–14,SRR5117303,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_1h,ML.1h_repA,,1,1,astaxanthin,1,1,1,1,1,1,1,55.08,264.29,18.36,223.91,239.3,144.11,365.12,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117304,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_1h,ML.1h_repB,,1,2,astaxanthin,1,1,1,1,1,1,1,70.08,289.71,23.36,179.48,202.14,169.91,483.29,High
Chromochloris zofingiensis,SAG 211–14,SRR5117305,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_1h,ML.1h_repC,,1,3,astaxanthin,1,1,1,1,1,1,1,92.34,315.38,30.78,169.76,209.07,159.23,475.64,High
Chromochloris zofingiensis,SAG 211–14,SRR5117306,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_1h,ML.1h_repD,,1,4,astaxanthin,1,1,1,1,1,1,1,84.96,310.41,28.32,202.55,206.74,183.13,512.31,High
Chromochloris zofingiensis,SAG 211–14,SRR5117307,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_3h,ML.3h_repA,,1,1,astaxanthin,1,1,1,1,1,1,1,59.79,222.81,19.93,139.86,189.68,141.8,399.15,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117308,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_3h,ML.3h_repB,,1,2,astaxanthin,1,1,1,1,1,1,1,30.78,226,10.26,132.12,152.12,128.47,355.64,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117309,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_3h,ML.3h_repC,,1,3,astaxanthin,1,1,1,1,1,1,1,7.26,251.1,2.42,149.9,187.65,147,338.73,Low
Chromochloris zofingiensis,SAG 211–14,SRR5117310,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_3h,ML.3h_repD,,1,4,astaxanthin,1,1,1,1,1,1,1,39.6,245.06,13.2,134.65,155.6,157.28,351.35,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117311,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_6h,ML.6h_repA,,1,1,astaxanthin,1,1,1,1,1,1,1,23.49,131.85,7.83,64.55,86.13,109.54,213.62,Low
Chromochloris zofingiensis,SAG 211–14,SRR5117312,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_6h,ML.6h_repB,,1,2,astaxanthin,1,1,1,1,1,1,1,11.22,138.98,3.74,64.36,91.59,155.69,228.83,Low
Chromochloris zofingiensis,SAG 211–14,SRR5117313,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_6h,ML.6h_repC,,1,3,astaxanthin,1,1,1,1,1,1,1,3.66,142.05,1.22,65.53,103.64,133.05,194.19,Low
Chromochloris zofingiensis,SAG 211–14,SRR5117314,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_6h,ML.6h_repD,,1,4,astaxanthin,1,1,0,0,1,1,1,0,153.61,0,69.99,74.32,156.72,256.61,Low
Chromochloris zofingiensis,SAG 211–14,SRR5117315,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_12h,ML.12h_repA,,1,1,astaxanthin,1,1,1,1,1,1,1,18.33,142.43,6.11,78.22,121.1,105.12,322.52,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117316,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_12h,ML.12h_repB,,1,2,astaxanthin,1,1,1,1,1,1,1,21.27,186.04,7.09,70.54,106.36,101.42,333.74,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117317,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_12h,ML.12h_repC,,1,3,astaxanthin,1,1,1,1,1,1,1,22.65,125.96,7.55,84.2,109.88,118.63,354.09,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117318,PRJNA357850,"Light",100 μmol photons⋅m−2⋅s−1 medium_light_12h,ML.12h_repD,,1,4,astaxanthin,1,1,1,1,1,1,1,31.44,157.23,10.48,66.05,101.63,115.78,362.92,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117319,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_0.5h,HL.0.5h_repA,,0,1,astaxanthin,1,1,1,1,1,1,1,566.49,413.17,188.83,279.26,350.31,227.69,731.85,High
Chromochloris zofingiensis,SAG 211–14,SRR5117320,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_0.5h,HL.0.5h_repB,,0,2,astaxanthin,1,1,1,1,1,1,1,611.34,413.92,203.78,279.81,306.19,234.92,662.24,High
Chromochloris zofingiensis,SAG 211–14,SRR5117321,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_0.5h,HL.0.5h_repC,,0,3,astaxanthin,1,1,1,1,1,1,1,604.95,418.48,201.65,279.54,317.43,211.12,742.51,High
Chromochloris zofingiensis,SAG 211–14,SRR5117322,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_0.5h,HL.0.5h_repD,,0,4,astaxanthin,1,1,1,1,1,1,1,438.69,432.6,146.23,272.73,281.19,225.69,694.2,High
Chromochloris zofingiensis,SAG 211–14,SRR5117323,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_1h,HL.1h_repA,,0,1,astaxanthin,1,1,1,1,1,1,1,197.07,251.63,65.69,350.72,356.6,220.43,424.34,High
Chromochloris zofingiensis,SAG 211–14,SRR5117324,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_1h,HL.1h_repB,,0,2,astaxanthin,1,1,1,1,1,1,1,300.54,339.25,100.18,347.73,446.27,200.82,612.69,High
Chromochloris zofingiensis,SAG 211–14,SRR5117325,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_1h,HL.1h_repC,,0,3,astaxanthin,1,1,1,1,1,1,1,218.43,301.06,72.81,326.47,411.15,227.31,525.78,High
Chromochloris zofingiensis,SAG 211–14,SRR5117326,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_1h,HL.1h_repD,,0,4,astaxanthin,1,1,1,1,1,1,1,271.53,337.64,90.51,348.21,420.28,238.44,528.05,High
Chromochloris zofingiensis,SAG 211–14,SRR5117327,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_3h,HL.3h_repA,,0,1,astaxanthin,1,1,1,1,1,1,1,30.93,200.22,10.31,162.64,166.07,210.76,361.02,Low
Chromochloris zofingiensis,SAG 211–14,SRR5117328,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_3h,HL.3h_repB,,0,2,astaxanthin,1,1,1,1,1,1,1,56.67,220.16,18.89,184.22,208.17,148.32,359.18,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117329,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_3h,HL.3h_repC,,0,3,astaxanthin,1,1,1,1,1,1,1,52.65,232.22,17.55,161.69,217.74,142.32,362.56,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117330,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_3h,HL.3h_repD,,0,4,astaxanthin,1,1,1,1,1,1,1,49.44,242.37,16.48,162.58,209.66,183.57,319.31,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117331,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_6h,HL.6h_repA,,0,1,astaxanthin,1,1,1,1,1,1,1,28.62,126.06,9.54,78.42,85.42,124.02,154.67,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117332,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_6h,HL.6h_repB,,0,2,astaxanthin,1,1,0,0,1,1,1,0,138.91,0,87.38,130.92,130.95,254.49,Low
Chromochloris zofingiensis,SAG 211–14,SRR5117334,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_6h,HL.6h_repD,,0,4,astaxanthin,1,1,1,1,1,1,1,11.76,160.72,3.92,92.5,147.34,146.01,243.14,Low
Chromochloris zofingiensis,SAG 211–14,SRR5117335,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_12h,HL.12h_repA,,0,1,astaxanthin,1,1,1,1,1,1,1,41.49,135.87,13.83,82.65,129,120.87,254.18,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117336,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_12h,HL.12h_repB,,0,2,astaxanthin,1,1,1,1,1,1,1,45.72,150,15.24,75.5,138.23,106.52,248.41,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117337,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_12h,HL.12h_repC,,0,3,astaxanthin,1,1,1,1,1,1,1,53.91,137.88,17.97,84.61,153.47,135.37,247.85,Medium
Chromochloris zofingiensis,SAG 211–14,SRR5117338,PRJNA357850,"Light",400 μmol photons⋅m−2⋅s−1 high_light_12h,HL.12h_repD,,0,4,astaxanthin,1,1,1,1,1,1,1,58.26,140.82,19.42,84.88,133.83,111.04,267.39,Medium
Chromochloris zofingiensis,ATCC 30412,SRR8986838,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 0 h rep1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,64.68,75.15,21.56,68.48,105.95,55.12,99.38,High
Chromochloris zofingiensis,ATCC 30412,SRR8986839,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 0 h rep2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,71.37,60.53,23.79,66.3,102.1,63.76,98.48,High
Chromochloris zofingiensis,ATCC 30412,SRR8986840,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 0 h rep3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,57.51,51.72,19.17,61.56,111.93,51.95,103.73,High
Chromochloris zofingiensis,ATCC 30412,SRR8986841,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 6 h rep1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,20.46,8.44,6.82,18.68,214.13,85.79,28.72,Low
Chromochloris zofingiensis,ATCC 30412,SRR8986844,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 12 h rep1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,14.34,46.72,4.78,54.36,148.27,50.14,59.28,Low
Chromochloris zofingiensis,ATCC 30412,SRR8986845,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 12 h rep2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,28.41,52.76,9.47,54.32,148.81,57.21,58.92,Medium
Chromochloris zofingiensis,ATCC 30412,SRR8986846,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 12 h rep3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,34.98,43.59,11.66,48.64,157.04,51.42,56.8,Medium
Chromochloris zofingiensis,ATCC 30412,SRR8986847,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 24 h rep1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,61.29,61.34,20.43,20.37,105.44,84.61,62.99,Medium
Chromochloris zofingiensis,ATCC 30412,SRR8986848,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 24 h rep2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,54.06,51.94,18.02,20.67,104.12,85.41,75.42,Medium
Chromochloris zofingiensis,ATCC 30412,SRR8986849,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 24 h rep3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,52.14,50.72,17.38,27.66,105.01,90.65,66.57,Medium
Chromochloris zofingiensis,ATCC 30412,SRR8986850,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 48 h rep1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,31.44,61.25,10.48,72.41,180.56,106.8,72.9,Medium
Chromochloris zofingiensis,ATCC 30412,SRR8986851,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 48 h rep2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,21.78,45.02,7.26,76.91,172.78,128.72,73.17,Low
Chromochloris zofingiensis,ATCC 30412,SRR8986852,PRJNA540281,Sulfur,sulfur_starvation_stress,SS 48 h rep3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,29.82,55.37,9.94,68.69,138.11,132.39,69.36,Medium
Chromochloris zofingiensis,ATCC 30412,SRR8986853,PRJNA540281,Sulfur,sulfur_replenishment,replenish 12 h rep1,NA,1,1,astaxanthin,1,1,1,1,1,1,1,32.73,87.92,10.91,97.21,117.64,50.06,115.86,High
Chromochloris zofingiensis,ATCC 30412,SRR8986855,PRJNA540281,Sulfur,sulfur_replenishment,replenish 12 h rep3,NA,1,3,astaxanthin,1,1,1,1,1,1,1,36.63,85.66,12.21,83.05,109.11,50.8,127.4,High
Chromochloris zofingiensis,ATCC 30412,SRR7074962,PRJNA454009,Nitrogen,nitrogen_deprivation_for_0h_autotrophy,ND0-1,NA,1,1,astaxanthin,1,1,1,1,1,1,1,14.19,104.54,4.73,62.77,137.23,149.01,102.96,Medium
Chromochloris zofingiensis,ATCC 30412,SRR7074963,PRJNA454009,Nitrogen,nitrogen_deprivation_for_0h_autotrophy,ND0-2,NA,1,2,astaxanthin,1,1,1,1,1,1,1,9.48,95.67,3.16,98.81,131.95,142.56,108.98,Low
Chromochloris zofingiensis,ATCC 30412,SRR7074964,PRJNA454009,Nitrogen,nitrogen_deprivation_for_0h_autotrophy,ND0-3,NA,1,3,astaxanthin,1,1,1,1,1,1,1,8.61,111.9,2.87,98.77,115.18,143.74,104.86,Low
Chromochloris zofingiensis,ATCC 30412,SRR7074965,PRJNA454009,Nitrogen,nitrogen_deprivation_for_3h_autotrophy,ND3-1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,41.22,326.24,13.74,40.31,145.9,604.85,140.86,Medium
Chromochloris zofingiensis,ATCC 30412,SRR7074966,PRJNA454009,Nitrogen,nitrogen_deprivation_for_3h_autotrophy,ND3-2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,42.72,338.75,14.24,91.3,222.65,561.41,171.94,Medium
Chromochloris zofingiensis,ATCC 30412,SRR7074967,PRJNA454009,Nitrogen,nitrogen_deprivation_for_3h_autotrophy,ND3-3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,28.02,213.22,9.34,86.64,183.52,551.54,127.47,Low
Chromochloris zofingiensis,ATCC 30412,SRR7074969,PRJNA454009,Nitrogen,nitrogen_deprivation_for_6h_autotrophy,ND6-2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,20.55,476.64,6.85,50.91,157.84,649,234.26,Low
Chromochloris zofingiensis,ATCC 30412,SRR7074970,PRJNA454009,Nitrogen,nitrogen_deprivation_for_6h_autotrophy,ND6-3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,27.18,420.96,9.06,68.12,146.02,592.04,220.42,Medium
Chromochloris zofingiensis,ATCC 30412,SRR7074971,PRJNA454009,Nitrogen,nitrogen_deprivation_for_12h_autotrophy,ND12-1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,26.91,437.07,8.97,68.14,107.1,585.04,255.62,Medium
Chromochloris zofingiensis,ATCC 30412,SRR7074972,PRJNA454009,Nitrogen,nitrogen_deprivation_for_12h_autotrophy,ND12-2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,25.17,572.74,8.39,70.7,126.16,557.87,296.07,Medium
Chromochloris zofingiensis,ATCC 30412,SRR7074973,PRJNA454009,Nitrogen,nitrogen_deprivation_for_12h_autotrophy,ND12-3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,33.51,450.95,11.17,70.7,121.29,601,277.08,Medium
Chromochloris zofingiensis,ATCC 30412,SRR7074974,PRJNA454009,Nitrogen,nitrogen_deprivation_for_24h_autotrophy,ND24-1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,39.42,259.75,13.14,65.75,126.91,344.09,233.56,Low
Chromochloris zofingiensis,ATCC 30412,SRR7074975,PRJNA454009,Nitrogen,nitrogen_deprivation_for_24h_autotrophy,ND24-2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,59.01,282.08,19.67,62.42,125.78,355.22,282.84,Medium
Chromochloris zofingiensis,ATCC 30412,SRR7074976,PRJNA454009,Nitrogen,nitrogen_deprivation_for_24h_autotrophy,ND24-3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,55.17,313.55,18.39,63.42,111.17,320.15,259.46,Medium
Chromochloris zofingiensis,ATCC 30412,SRR7074977,PRJNA454009,Nitrogen,nitrogen_deprivation_plus_10_um_cerulenin_for_6h,NDC6-1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,20.88,532.15,6.96,55.63,142.94,519.08,232.66,Medium
Chromochloris zofingiensis,ATCC 30412,SRR7074978,PRJNA454009,Nitrogen,nitrogen_deprivation_plus_10_um_cerulenin_for_6h,NDC6-2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,13.83,603.66,4.61,59.93,134.75,540.51,242.94,Medium
Chromochloris zofingiensis,ATCC 30412,SRR7074979,PRJNA454009,Nitrogen,nitrogen_deprivation_plus_10_um_cerulenin_for_6h,NDC6-3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,23.88,599.71,7.96,56.04,134.97,557.69,227.45,High
Chromochloris zofingiensis,ATCC 30412,SRR7074980,PRJNA454009,Nitrogen,nitrogen_deprivation_plus_10_um_cerulenin_for_12h,NDC12-1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,20.1,648.21,6.7,43.22,106.96,596.34,302.07,High
Chromochloris zofingiensis,ATCC 30412,SRR7074981,PRJNA454009,Nitrogen,nitrogen_deprivation_plus_10_um_cerulenin_for_12h,NDC12-2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,32.4,677.34,10.8,53.7,123.16,550.49,310.3,High
Chromochloris zofingiensis,ATCC 30412,SRR7074982,PRJNA454009,Nitrogen,nitrogen_deprivation_plus_10_um_cerulenin_for_12h,NDC12-3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,30.66,623.88,10.22,47.64,119.36,555.23,332.5,High
