Species,Strain,Run,Bioproject,Condition,Condition_detail,Sample_id,Genotype_label,Is_control,Replicate,Compound,ELOVL6,HSD17B12,fabD,fabI,ACSL,K10203 ELOVL6,K10251 HSD17B12,K00645 fabD,K00208 fabI,K01897 ACSL,Label
Nannochloropsis oceanica ,CCMP1779,SRR2047475,PRJNA285666,Light,9 hours into dark period,Time21-replicate 2,NA,0,2,Fatty Acid,1,1,1,1,1,700.82,525.4,619.63,652.33,955.55,Medium
Nannochloropsis oceanica,IMET1,SRR11638045,PRJNA629048,Phosphorus,phosphate deprivation 24h,T24h-P-b,NA,0,2,Lipid Synthesis,1,1,1,1,1,947.17,486.4,440.14,693.62,358.08,Medium
Nannochloropsis oceanica,IMET1,SRR11638046,PRJNA629048,Phosphorus,phosphate deprivation 0h,T0h-b,NA,1,2,Lipid Synthesis,1,1,1,1,1,1450.66,685.11,731.47,812.15,677.4,High
Nannochloropsis oceanica,IMET1,SRR11638047,PRJNA629048,Phosphorus,phosphate deprivation 0h,T0h-a,NA,1,1,Lipid Synthesis,1,1,1,1,1,1439.9,691.99,789.54,842.88,652.09,High
Nannochloropsis oceanica,IMET1,SRR11638048,PRJNA629048,Phosphorus,phosphate deprivation 24h,T24h-P-a,NA,0,1,Lipid Synthesis,1,1,1,1,1,1025.18,437.31,461.73,683.02,34.58,Medium
Nannochloropsis oceanica,IMET1,SRR11638049,PRJNA629048,Phosphorus,phosphate deprivation 12h,T12h-P-c,NA,0,3,Lipid Synthesis,1,1,1,1,1,629.14,515.29,284.16,359.67,264.31,Low
Nannochloropsis oceanica,IMET1,SRR11638050,PRJNA629048,Phosphorus,phosphate deprivation 12h,T12h-P-b,NA,0,2,Lipid Synthesis,1,1,1,1,1,680.04,475.25,276.1,390.1,275.76,Medium
Nannochloropsis oceanica,IMET1,SRR11638051,PRJNA629048,Phosphorus,phosphate deprivation 12h,T12h-P-a,NA,0,1,Lipid Synthesis,1,1,1,1,1,794.29,576.67,301.14,367.21,255.68,Medium
Nannochloropsis oceanica,IMET1,SRR11638052,PRJNA629048,Phosphorus,phosphate deprivation 6h,T6h-P-c,NA,0,3,Lipid Synthesis,1,1,1,1,1,1251.01,739.62,479.37,537.08,448.11,Medium
Nannochloropsis oceanica,IMET1,SRR11638053,PRJNA629048,Phosphorus,phosphate deprivation 6h,T6h-P-b,NA,0,2,Lipid Synthesis,1,1,1,1,1,1168.21,682.08,496.22,638.43,386.54,Medium
Nannochloropsis oceanica,IMET1,SRR11638054,PRJNA629048,Phosphorus,phosphate deprivation 6h,T6h-P-a,NA,0,1,Lipid Synthesis,1,1,1,1,1,1268.77,688.72,504.47,656.16,386.04,High
Nannochloropsis oceanica,IMET1,SRR11638055,PRJNA629048,Phosphorus,phosphate deprivation 0h,T0h-c,NA,1,3,Lipid Synthesis,1,1,1,1,1,1311.24,681.91,742.64,974.83,707.2,Medium
Nannochloropsis oceanica,IMET1,SRR11638056,PRJNA629048,Phosphorus,phosphate deprivation 48h,T48h-P-c,NA,0,3,Lipid Synthesis,1,1,1,1,1,1311.24,503.2,338.25,561.07,272.77,Medium
Nannochloropsis oceanica,IMET1,SRR11638057,PRJNA629048,Phosphorus,phosphate deprivation 48h,T48h-P-b,NA,0,2,Lipid Synthesis,1,1,1,1,1,1300.35,515.15,404.34,603.76,310.73,Medium
Nannochloropsis oceanica,IMET1,SRR11638058,PRJNA629048,Phosphorus,phosphate deprivation 48h,T48h-P-a,NA,0,1,Lipid Synthesis,1,1,1,1,1,1245.36,453.7,323.76,510.26,247.13,Medium
Nannochloropsis oceanica,IMET1,SRR11638059,PRJNA629048,Phosphorus,phosphate deprivation 24h,T24h-P-c,NA,0,3,Lipid Synthesis,1,1,1,1,1,953.03,466.47,408.07,703.78,348.17,Medium
Phaeodactylum tricornutum,pt1 8.6,SRR1947723,PRJNA279965,Nitrogen,Nitrogen-replete,WT +N rep1,NA,1,1,lipid biosynthesis,1,1,1,1,1,41.04,983.62,74.83,112.92,360.12,Medium
Phaeodactylum tricornutum,pt1 8.6,SRR1947724,PRJNA279965,Nitrogen,Nitrogen-replete,WT +N rep2,NA,1,2,lipid biosynthesis,1,1,1,1,1,44.45,1064.7,77.63,129.29,368.19,High
Phaeodactylum tricornutum,pt1 8.6,SRR1947725,PRJNA279965,Nitrogen,Nitrogen-replete,WT +N rep3,NA,1,3,lipid biosynthesis,1,1,1,1,1,46.9,1016.36,76.74,144.32,359.59,Medium
Phaeodactylum tricornutum,pt1 8.6,SRR1947726,PRJNA279965,Nitrogen,Nitrogen-starved,WT -N rep1,NA,0,1,lipid biosynthesis,1,1,1,1,1,18.69,1418.13,0.26,2.07,85.94,Low
Phaeodactylum tricornutum,pt1 8.6,SRR1947727,PRJNA279965,Nitrogen,Nitrogen-starved,WT -N rep2,NA,0,2,lipid biosynthesis,1,1,1,1,1,17.52,1217.21,0.86,4,86.53,Low
Phaeodactylum tricornutum,pt1 8.6,SRR1947728,PRJNA279965,Nitrogen,Nitrogen-starved,WT -N rep3,NA,0,3,lipid biosynthesis,1,1,1,1,1,15.5,3527.86,1.9,4.93,81.26,Low
Phaeodactylum tricornutum,pt1 8.6,SRR1947729,PRJNA279965,Genotype,knock-down_nitrogen-replete,NR +N rep1,Knockdown,0,1,lipid biosynthesis,1,1,1,1,1,62.32,3149.63,59.37,110.76,355.84,High
Phaeodactylum tricornutum,pt1 8.6,SRR1947730,PRJNA279965,Genotype,knock-down_nitrogen-replete,NR +N rep2,Knockdown,0,2,lipid biosynthesis,1,1,1,1,1,50.89,3099.47,47.38,98.85,358.16,Medium
Phaeodactylum tricornutum,pt1 8.6,SRR1947731,PRJNA279965,Genotype,knock-down_nitrogen-replete,NR +N rep3,Knockdown,0,3,lipid biosynthesis,1,1,1,1,1,57.62,2732.21,39.02,70.45,349.15,Medium
Phaeodactylum tricornutum,pt1 8.6,SRR1947732,PRJNA279965,Genotype,knock-down_nitrogen-starved,NR -N rep1,Knockdown,0,1,lipid biosynthesis,1,1,1,1,1,28.6,4331.22,0.61,4.27,112.87,Medium
Phaeodactylum tricornutum,pt1 8.6,SRR1947733,PRJNA279965,Genotype,knock-down_nitrogen-starved,NR -N rep2,Knockdown,0,2,lipid biosynthesis,1,1,1,1,1,33.94,2377.98,20,37.69,205.46,Medium
Phaeodactylum tricornutum,pt1 8.6,SRR1947734,PRJNA279965,Genotype,knock-down_nitrogen-starved,NR -N rep3,Knockdown,0,3,lipid biosynthesis,1,1,1,1,1,15.43,3228.61,0.56,1.67,79.03,Medium
Phaeodactylum tricornutum,NA,SRR1208033,PRJNA242990,Nitrogen,with nitrogen source,with nitrogen rep1,NA,1,1,lipid biosynthesis,1,1,1,1,1,41.04,983.62,74.83,112.92,360.12,Medium
Phaeodactylum tricornutum,NA,SRR1208034,PRJNA242990,Nitrogen,with nitrogen source,with nitrogen rep2,NA,1,2,lipid biosynthesis,1,1,1,1,1,44.45,1064.7,77.63,129.29,368.19,High
Phaeodactylum tricornutum,NA,SRR1208035,PRJNA242990,Nitrogen,with nitrogen source,with nitrogen rep3,NA,1,3,lipid biosynthesis,1,1,1,1,1,46.9,1016.36,76.74,144.32,359.59,Medium
Phaeodactylum tricornutum,NA,SRR1208036,PRJNA242990,Nitrogen,without nitrogen source,without nitrogen rep1,NA,0,1,lipid biosynthesis,1,1,1,1,1,18.69,1418.13,0.26,2.07,85.94,Low
Phaeodactylum tricornutum,NA,SRR1208037,PRJNA242990,Nitrogen,without nitrogen source,without nitrogen rep2,NA,0,2,lipid biosynthesis,1,1,1,1,1,17.52,1217.21,0.86,4,86.53,Medium
Phaeodactylum tricornutum,NA,SRR1208038,PRJNA242990,Nitrogen,without nitrogen source,without nitrogen rep3,NA,0,3,lipid biosynthesis,1,1,1,1,1,15.5,3527.86,1.9,4.93,81.26,Medium
